user_id,device_has_3d_touch,session_duration
1,True,270
2,False,593
3,False,125
4,False,514
5,True,436
6,True,260
7,True,200
8,False,570
9,False,65
10,False,554
11,True,189
12,False,272
13,False,115
14,True,586
15,True,57
16,True,585
17,True,369
18,False,360
19,True,535
20,True,377
21,False,502
22,True,260
23,True,219
24,True,254
25,True,414
26,False,406
27,True,312
28,False,288
29,False,388
30,True,485
31,False,440
32,True,347
33,True,254
34,False,263
35,False,403
36,False,501
37,True,262
38,True,142
39,False,526
40,True,471
41,True,593
42,True,297
43,True,539
44,False,415
45,True,416
46,False,142
47,True,110
48,False,142
49,False,31
50,True,249
51,False,595
52,False,254
53,False,414
54,False,432
55,False,159
56,False,82
57,True,445
58,True,276
59,True,468
60,True,232
61,True,213
62,True,152
63,False,430
64,True,323
65,True,309
66,False,227
67,True,540
68,False,173
69,True,230
70,False,153
71,False,216
72,True,355
73,True,493
74,False,378
75,False,432
76,False,375
77,False,540
78,True,176
79,True,177
80,True,518
81,False,580
82,False,367
83,True,502
84,True,180
85,True,444
86,True,327
87,False,292
88,False,173
89,False,375
90,True,31
91,True,333
92,False,283
93,False,482
94,False,66
95,False,189
96,True,38
97,False,262
98,True,128
99,True,237
100,True,160
